21mbhav,12/4/2018,11:17:55 AM,1,1,m,1,0.9688020329340361
21mbhav,12/4/2018,11:17:55 AM,2,1,x,3,0.9019077917037066
21mbhav,12/4/2018,11:17:55 AM,3,1,w,2,0.7355553347442765
21mbhav,12/4/2018,11:17:55 AM,4,2,x,-999,-999
21mbhav,12/4/2018,11:17:55 AM,5,0,o,0,2.186404960521031
21mbhav,12/4/2018,11:17:55 AM,6,0,x,3,1.035333778418135
21mbhav,12/4/2018,11:17:55 AM,7,2,o,0,1.4861190227093175
21mbhav,12/4/2018,11:17:55 AM,8,2,w,2,1.01870329133817
21mbhav,12/4/2018,11:17:55 AM,9,0,m,1,1.669094968761783
21mbhav,12/4/2018,11:17:55 AM,10,1,o,0,0.8018463493790478
21mbhav,12/4/2018,11:17:55 AM,11,2,m,1,0.9687199232284911
21mbhav,12/4/2018,11:17:55 AM,12,0,w,2,1.0856133947090711
